timestamp,date,open,high,low,close,volume
1710273600,2024-03-12 20:00:00,3984.96,3985.36,3929.60,3953.31,118926.575
1710277200,2024-03-12 21:00:00,3953.31,3957.89,3933.88,3944.59,53640.967
1710280800,2024-03-12 22:00:00,3944.59,3961.80,3937.40,3952.77,51097.075
1710284400,2024-03-12 23:00:00,3952.77,3985.07,3942.59,3984.18,73032.104
1710288000,2024-03-13 00:00:00,3984.18,4004.46,3976.94,3980.87,69518.658
1710291600,2024-03-13 01:00:00,3980.86,4035.00,3979.00,4025.58,107242.391
1710295200,2024-03-13 02:00:00,4025.59,4041.21,4016.11,4036.01,56178.804
1710298800,2024-03-13 03:00:00,4036.01,4050.00,4028.47,4047.93,62119.216
1710302400,2024-03-13 04:00:00,4047.92,4049.80,4033.13,4047.46,47322.388
1710306000,2024-03-13 05:00:00,4047.45,4047.53,4033.38,4041.35,34428.872
1710309600,2024-03-13 06:00:00,4041.35,4061.10,4037.59,4052.74,68093.509
1710313200,2024-03-13 07:00:00,4052.74,4085.90,4036.10,4043.28,150626.526
1710316800,2024-03-13 08:00:00,4043.29,4091.65,4043.29,4068.45,163579.499
1710320400,2024-03-13 09:00:00,4068.46,4071.96,4048.23,4054.40,71918.851
1710324000,2024-03-13 10:00:00,4054.41,4062.37,4047.77,4060.57,49121.278
1710327600,2024-03-13 11:00:00,4060.57,4065.24,4049.22,4053.74,41776.922
1710331200,2024-03-13 12:00:00,4053.74,4058.00,4005.07,4009.87,172205.410
1710334800,2024-03-13 13:00:00,4009.86,4026.73,3935.00,3980.00,320220.146
1710338400,2024-03-13 14:00:00,3980.01,4004.80,3955.22,3969.04,246703.982
1710342000,2024-03-13 15:00:00,3969.03,4007.47,3950.08,3965.66,190584.857
1710345600,2024-03-13 16:00:00,3965.67,3994.30,3955.50,3986.52,119539.356
1710349200,2024-03-13 17:00:00,3986.52,3999.95,3962.79,3984.92,87473.966
1710352800,2024-03-13 18:00:00,3984.93,4015.66,3976.99,4007.67,79727.947
1710356400,2024-03-13 19:00:00,4007.67,4014.30,3981.68,4004.13,65640.860
1710360000,2024-03-13 20:00:00,4004.12,4025.84,3977.49,3992.61,107628.264
1710363600,2024-03-13 21:00:00,3992.61,4009.05,3981.61,4008.66,36894.181
1710367200,2024-03-13 22:00:00,4008.66,4009.80,3983.93,3986.37,44077.127
1710370800,2024-03-13 23:00:00,3986.36,4015.37,3986.00,4008.76,53178.489
1710374400,2024-03-14 00:00:00,4008.76,4015.45,3978.00,3978.69,63370.011
1710378000,2024-03-14 01:00:00,3978.70,3992.76,3955.62,3988.00,117157.373
1710381600,2024-03-14 02:00:00,3988.00,4005.79,3985.22,3989.12,56907.503
1710385200,2024-03-14 03:00:00,3989.12,4006.33,3989.11,3997.37,51745.557
1710388800,2024-03-14 04:00:00,3997.38,4011.97,3942.01,3959.66,133250.336
1710392400,2024-03-14 05:00:00,3959.67,3976.81,3945.00,3972.80,74091.283
1710396000,2024-03-14 06:00:00,3972.81,3997.54,3970.44,3984.80,83901.482
1710399600,2024-03-14 07:00:00,3984.81,3995.45,3961.36,3966.68,81124.051
1710403200,2024-03-14 08:00:00,3966.68,3988.33,3966.00,3982.99,46336.109
1710406800,2024-03-14 09:00:00,3982.99,4002.89,3976.25,3992.30,72586.721
1710410400,2024-03-14 10:00:00,3992.31,3995.71,3966.24,3972.79,70204.463
1710414000,2024-03-14 11:00:00,3972.79,3974.59,3946.66,3959.21,115398.879
1710417600,2024-03-14 12:00:00,3959.22,3971.94,3911.00,3947.14,180067.208
1710421200,2024-03-14 13:00:00,3947.14,3956.12,3851.28,3881.10,385927.927
1710424800,2024-03-14 14:00:00,3881.10,3934.75,3866.66,3890.20,262923.367
1710428400,2024-03-14 15:00:00,3890.21,3906.61,3820.00,3848.40,319211.458
1710432000,2024-03-14 16:00:00,3848.41,3900.51,3828.00,3896.57,312423.939
1710435600,2024-03-14 17:00:00,3896.58,3900.33,3856.52,3878.95,103120.109
1710439200,2024-03-14 18:00:00,3878.96,3878.96,3760.00,3815.37,333802.823
1710442800,2024-03-14 19:00:00,3815.37,3832.10,3725.03,3789.88,492489.084
1710446400,2024-03-14 20:00:00,3789.87,3869.17,3784.40,3848.06,206013.671
1710450000,2024-03-14 21:00:00,3848.07,3875.62,3823.84,3869.58,110061.882
1710453600,2024-03-14 22:00:00,3869.58,3894.00,3867.93,3880.81,95870.376
1710457200,2024-03-14 23:00:00,3880.81,3894.00,3875.33,3884.99,54733.394
1710460800,2024-03-15 00:00:00,3884.99,3938.16,3873.00,3907.23,141449.837
1710464400,2024-03-15 01:00:00,3907.23,3913.85,3879.59,3883.44,71928.863
1710468000,2024-03-15 02:00:00,3883.43,3889.65,3696.00,3749.11,503721.168
1710471600,2024-03-15 03:00:00,3749.83,3774.04,3623.00,3724.84,639102.508
1710475200,2024-03-15 04:00:00,3724.84,3738.41,3656.38,3674.67,312952.560
1710478800,2024-03-15 05:00:00,3674.67,3732.15,3663.69,3676.89,190851.905
1710482400,2024-03-15 06:00:00,3676.89,3755.00,3676.24,3752.51,166806.632
1710486000,2024-03-15 07:00:00,3752.50,3784.00,3732.74,3756.08,135491.338
1710489600,2024-03-15 08:00:00,3756.09,3765.00,3660.78,3665.40,268609.614
1710493200,2024-03-15 09:00:00,3665.43,3700.21,3566.00,3685.50,604122.155
1710496800,2024-03-15 10:00:00,3685.50,3699.19,3650.00,3662.49,192131.990
1710500400,2024-03-15 11:00:00,3662.49,3702.64,3624.33,3692.96,230341.586
1710504000,2024-03-15 12:00:00,3692.97,3711.99,3674.33,3700.42,126823.234
1710507600,2024-03-15 13:00:00,3700.42,3746.80,3674.84,3726.53,213880.874
1710511200,2024-03-15 14:00:00,3726.54,3735.00,3689.23,3724.30,150093.421
1710514800,2024-03-15 15:00:00,3724.30,3729.98,3687.07,3691.94,96901.127
1710518400,2024-03-15 16:00:00,3691.94,3720.00,3661.83,3686.92,175108.058
1710522000,2024-03-15 17:00:00,3686.93,3701.77,3666.00,3698.02,82409.091
1710525600,2024-03-15 18:00:00,3698.02,3792.29,3696.79,3790.39,192511.767
1710529200,2024-03-15 19:00:00,3790.38,3811.10,3676.77,3690.00,332392.912
1710532800,2024-03-15 20:00:00,3690.00,3690.00,3606.00,3632.19,279115.165
1710536400,2024-03-15 21:00:00,3632.19,3673.72,3629.35,3671.99,80668.554
1710540000,2024-03-15 22:00:00,3672.00,3737.81,3669.00,3732.38,111146.632
1710543600,2024-03-15 23:00:00,3732.38,3751.57,3714.00,3745.00,94913.729
1710547200,2024-03-16 00:00:00,3745.01,3778.56,3738.98,3763.28,116778.615
1710550800,2024-03-16 01:00:00,3763.27,3784.87,3740.49,3747.16,103194.095
1710554400,2024-03-16 02:00:00,3747.15,3749.56,3728.50,3735.00,49945.809
1710558000,2024-03-16 03:00:00,3735.00,3753.30,3725.19,3738.41,44525.328
1710561600,2024-03-16 04:00:00,3738.41,3746.68,3716.67,3728.24,53624.573
1710565200,2024-03-16 05:00:00,3728.24,3731.66,3692.90,3716.73,70220.599
1710568800,2024-03-16 06:00:00,3716.74,3732.48,3709.00,3727.73,44110.166
1710572400,2024-03-16 07:00:00,3727.73,3744.42,3722.00,3743.39,49846.417
1710576000,2024-03-16 08:00:00,3743.40,3744.54,3715.91,3722.23,47601.770
1710579600,2024-03-16 09:00:00,3722.23,3735.19,3715.37,3722.71,35623.421
1710583200,2024-03-16 10:00:00,3722.70,3726.32,3701.10,3705.51,62524.370
1710586800,2024-03-16 11:00:00,3705.50,3711.88,3666.00,3695.24,143864.851
1710590400,2024-03-16 12:00:00,3695.24,3715.20,3667.12,3668.49,101890.028
1710594000,2024-03-16 13:00:00,3668.49,3687.72,3646.77,3649.68,117487.519
1710597600,2024-03-16 14:00:00,3649.68,3669.80,3640.39,3667.54,98045.775
1710601200,2024-03-16 15:00:00,3667.55,3685.27,3650.01,3681.49,65733.712
1710604800,2024-03-16 16:00:00,3681.49,3683.53,3660.00,3667.58,51497.611
1710608400,2024-03-16 17:00:00,3667.59,3675.36,3630.00,3635.67,127832.601
1710612000,2024-03-16 18:00:00,3635.68,3641.57,3571.21,3598.36,337730.177
